id,title,blog,link,description,author,published
2355 at https://www.oh-soyummy.com,"Kari Kari Chili Crisps, Fuji Ramen San Diego, and Homemade Filipino BBQ Plate",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/kari-kari-chili-crisps-fuji-ramen-san-diego-and-homemade-filipino-bbq-plate,"## Kari Kari Chili Crisps, Fuji Ramen San Diego, and Homemade Filipino BBQ
Plate

Submitted by dennis on 08/15/2020 - 9:12am.

My friend Nguyen is starting up a new business producing chili oil sauce and
gave me a few prototype samples to try. This sauce is similar to the kind that
you find in a lot of Chinese cuisines. The main difference and draw are the
crispy bits of garlic and shallots. Hence the name, Chili Crisps.

Continue Reading ->

",dennis,"Sat, 15 Aug 2020 16:12:39 +0000"
2354 at https://www.oh-soyummy.com,"The French Oven Bakery & Cafe - San Diego, CA",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/french-oven-bakery-cafe-san-diego-ca,"

## The French Oven Bakery & Cafe - San Diego, CA

Submitted by lynn on 08/10/2020 - 6:10pm.

My foodie friends had mentioned The French Oven Bakery & Cafe a few times and
I finally had a chance to try it this summer! This small shop is located in
the Scripps Ranch area of San Diego and provides social distancing through
limiting customers in store and 6 feet markers on the ground.

Our first takeout was in early July. Dennis participated in the virtual
version of the annual Scripps Ranch Old Pros bike / fun run event and claimed
a free pastry offer from here plus brought home a few treats for me to try.

Continue Reading ->

",lynn,"Tue, 11 Aug 2020 01:10:40 +0000"
2352 at https://www.oh-soyummy.com,"Highlights of the Chocolate Decadence Event at Pechanga - Temecula, CA",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/highlights-chocolate-decadence-event-pechanga-temecula-ca,"

## Highlights of the Chocolate Decadence Event at Pechanga - Temecula, CA

Submitted by lynn on 07/15/2020 - 1:41pm.

It's been a few months since our last foodie event, which happened to be a
wonderful weekend of chocolate, food, wine and spirits at Pechanga Resort &
Casino. We thought it would be nice to reminisce by sharing our photo
highlights! Below is the Chocolate Decadence event. Make sure to check out the
Wine Festival event as well!

## Chocolate Decadence

This event featured more than 30 wine varietals that pair with chocolate and
other sweet desserts. Included in admission was a souvenir wine glass,
unlimited two ounce samples of wine and spirits, gourmet dessert samples from
Pechanga’s acclaimed pastry chefs, live music and silent auction. This year's
event was the 12th annual event and was held on Friday, March 6, 2020 from
7-10pm (general admission).

Continue Reading ->

",lynn,"Wed, 15 Jul 2020 20:41:33 +0000"
2344 at https://www.oh-soyummy.com,"Powerhaus Wholesome Pizza & Eats (Pacific Beach) - San Diego, CA",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/powerhaus-wholesome-pizza-eats-pacific-beach-san-diego-ca,"

## Powerhaus Wholesome Pizza & Eats (Pacific Beach) - San Diego, CA

Submitted by lynn on 07/02/2020 - 12:06pm.

We're enjoying the warmer weather these days which encourages us to do more
outdoor activities like relaxing strolls or energetic cycling routes. A
compliment to that active lifestyle includes some healthy dining at
restaurants such as Powerhaus Wholesome Pizza & Eats. We were invited to check
out their accommodating and nutritious selection of pizzas and smoothies
earlier this year. This local small business has been open for 1.5 years and
is located on Garnet Street in easy breezy Pacific Beach.

Continue Reading ->

",lynn,"Thu, 02 Jul 2020 19:06:25 +0000"
2350 at https://www.oh-soyummy.com,"CAKED 1 Year Anniversary - San Diego, CA",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/caked-1-year-anniversary-san-diego-ca,"

## CAKED 1 Year Anniversary - San Diego, CA

Submitted by dennis on 06/19/2020 - 7:23pm.

Congrats on the 1 year anniversary of CAKED, a blossoming business that sells
delicious homemade cookies and brownies! We first discovered this tasty treat
while visiting the Miralani Makers' District, which is off Camino Ruiz in
between Mira Mesa and Miramar. Besides this brick and mortar location, CAKED
owner Kathy Phan also sells to customers at various public and private events.

Continue Reading ->

",dennis,"Sat, 20 Jun 2020 02:23:11 +0000"
2348 at https://www.oh-soyummy.com,"Supporting Local: Boss Bird Kitchen - San Diego, CA",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/supporting-local-boss-bird-kitchen-san-diego-ca,"

## Supporting Local: Boss Bird Kitchen - San Diego, CA

Submitted by lynn on 05/13/2020 - 9:38pm.

While we may be enjoying the homebody life more than we'd like to admit, we
still support local by ordering from neighborhood businesses. Another new
eatery in our area is Boss Bird Kitchen on Miramar Rd. They took over the spot
where Gaya Gaya once was, and Sarap Kitchen before that! Foodie friend Mary
had expressed interest also so I met her for lunch during their soft opening
lunch service back in February, when dining in was still the norm. There is
also a revisit, takeout style, in the second half of this post.

Continue Reading ->

",lynn,"Thu, 14 May 2020 04:38:08 +0000"
2349 at https://www.oh-soyummy.com,"Supporting Local: Charminar Indian Restaurant - San Diego, CA",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/supporting-local-charminar-indian-restaurant-san-diego-ca,"

## Supporting Local: Charminar Indian Restaurant - San Diego, CA

Submitted by lynn on 05/01/2020 - 7:05pm.

Supporting local is our eating motto lately. **Charminar Indian Restaurant**
perfectly fits the theme because they're in our neighborhood AND are giving
back to the needy! Charminar opened mid-March when CoVid-19 precautions began
affecting the restaurant industry. The restaurant's serving style was
immediately changed from buffet to a la carte at the start of business!

Continue Reading ->

",lynn,"Sat, 02 May 2020 02:05:21 +0000"
2347 at https://www.oh-soyummy.com,Supporting Local - March Roundup,Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/supporting-local-march-roundup,"

## Supporting Local - March Roundup

Submitted by dennis on 03/28/2020 - 2:29pm.

Hey friends, it's Dennis (the quiet one behind the camera). I don't write
often but wanted to share a few local business that I support. Let me know in
the comments what other places I should check out!

Continue Reading ->

",dennis,"Sat, 28 Mar 2020 21:29:37 +0000"
2345 at https://www.oh-soyummy.com,Texas de Brazil 1 year anniversary in Carlsbad California,Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/texas-de-brazil-1-year-anniversary-carlsbad-california,"

## Texas de Brazil 1 year anniversary in Carlsbad California

Submitted by lynn on 03/06/2020 - 9:32pm.

Texas de Brazil in Carlsbad celebrated its one year anniversary on March 6,
2020. The restaurant provides an experience of Brazilian barbecue meats
grilled over charcoal, sliced by hand at your table, controlled by a green
(go) / red (stop) card, plus access to an excellent salad bar and hot food
bar. During our introductory visit last year, we gorged on their salad bar and
meats. This visit, we were able to attend a mixology class for the classic
Brazilian drink Caipirinha, get an insider view of their kitchen, then feast
once again on their food! Read on for details on our recent visit!

Continue Reading ->

",lynn,"Sat, 07 Mar 2020 05:32:05 +0000"
2339 at https://www.oh-soyummy.com,"Wrench & Rodent Seabasstropub - Oceanside, CA",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/reviews/wrench-rodent-seabasstropub-oceanside-ca,"

## Wrench & Rodent Seabasstropub - Oceanside, CA

Submitted by lynn on 02/13/2020 - 5:26pm.

Wrench & Rodent has been on my TO-DO list for a long time! The restaurant is
not only popular among sushi lovers but is also a proud member of Farm to Fork
San Diego. That means they supports our local farmers and fisher families as
well as a fairer, more sustainable food system. You can't help feeling a
little LOVE for having a great mind-set! Other Farm to Fork members we've
dined at include Cueva Bar, Royale, BiGA, and Terra American Bistro

Continue Reading ->

",lynn,"Fri, 14 Feb 2020 01:26:01 +0000"
2337 at https://www.oh-soyummy.com,"Phuong Trang seven course beef - San Diego, CA",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/reviews/phuong-trang-seven-course-beef-san-diego-ca,"

## Phuong Trang seven course beef - San Diego, CA

Submitted by lynn on 01/23/2020 - 6:48pm.

It's been FOREVER since we tried Vietnamese 7 course beef, also known as Bò
bảy món or Bò 7 món. Our last post was at Anh Hong Restaurant (Garden Grove)
from over 5 years ago! We've been meaning to try it in San Diego and had the
opportunity recently. Our first meal of 2020 was with family at Phuong Trang
in Convoy. The restaurant does get busy around lunchtime so plan earlier or
later for larger groups.

Continue Reading ->

",lynn,"Fri, 24 Jan 2020 02:48:51 +0000"
2340 at https://www.oh-soyummy.com,Peohe's in Coronado - San Diego Restaurant Week preview,Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/reviews/peohes-coronado-san-diego-restaurant-week-preview,"

## Peohe's in Coronado - San Diego Restaurant Week preview

Submitted by lynn on 01/20/2020 - 8:37pm.

San Diego Restaurant Week is back between January 19 - 26, 2020! Participating
restaurants throughout San Diego County offer prix fixe meals with lunches
ranging from $10-25 and dinners at $20-60. Through a media pairing with
Peohe's, we were able to visit majestic Coronado Island and dine within meters
of the ocean!

Seriously, what could be grander than food with a view? From one side of the
restaurant patio, you can see the San Diego downtown skyline and from the
other side, you can see the Coronado bridge. Peohe's is next to the Coronado
Ferry Landing, has free parking (yay), and presents an elegant atmosphere with
family, friends or that special someone!

Continue Reading ->

",lynn,"Tue, 21 Jan 2020 04:37:10 +0000"
2329 at https://www.oh-soyummy.com,"Pop Pie Co (University Heights) - San Diego, CA",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/reviews/pop-pie-co-university-heights-san-diego-ca,"

## Pop Pie Co (University Heights) - San Diego, CA

Submitted by lynn on 01/07/2020 - 12:59pm.

I've never been much of a ""pie"" kind of gal until now... Our newest obsession
is Pop Pie Co. in University Heights which caters to my savory cravings while
also providing for my occasional sweet tooth! For over two years, Dennis has
been wearing a ""Pop Pie Co"" hat I got when they first opened and he finally
made it INTO the restaurant! Street parking was available on both Sundays we
visited plus there were no lines around opening time.

Continue Reading ->

",lynn,"Tue, 07 Jan 2020 20:59:08 +0000"
2333 at https://www.oh-soyummy.com,Happy holidays and Toast of Gaslamp,Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/reviews/happy-holidays-and-toast-gaslamp,"

## Happy holidays and Toast of Gaslamp

Submitted by lynn on 12/30/2019 - 11:52am.

Hope everyone is enjoying the holidays! I'm sharing a few highlights from this
festive season below:

Continue Reading ->

",lynn,"Mon, 30 Dec 2019 19:52:20 +0000"
2331 at https://www.oh-soyummy.com,"Toast Gastrobrunch - Carlsbad, CA",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/toast-gastrobrunch-carlsbad-ca,"

## Toast Gastrobrunch - Carlsbad, CA

Submitted by lynn on 12/17/2019 - 2:00pm.

If you like tasty breads with toppings, Toast Gastrobrunch offers several as
well as other breakfast choices! I've noticed them on social media recently
and had a mini-preview during this year's Reader Brunch and Booze. We were
recently invited for a full restaurant experience which led us to Carlsbad in
north county San Diego. It's one street away from I-5 highway exit Palomar
Airport Road. Luckily they have a larger parking lot outside so we were able
to park close. By 10am, the place was packed with at least 2-3 parties waiting
outside. It got busier as the morning continued.

Continue Reading ->

",lynn,"Tue, 17 Dec 2019 22:00:32 +0000"
2325 at https://www.oh-soyummy.com,"A Walk to Remember: National Mall, Memorials and Arlington National Cemetery - Washington, DC",Oh-So Yummy - Where food meets tongue,https://www.oh-soyummy.com/reviews/walk-remember-national-mall-memorials-and-arlington-national-cemetery-washington-dc,"

## A Walk to Remember: National Mall, Memorials and Arlington National
Cemetery - Washington, DC

Submitted by lynn on 11/23/2019 - 12:59pm.

It's been _years_ since I went site-seeing in Washington D.C. Does a seventh
grade field trip really count if I don't remember where I went? Since it was
only 1 hour away from Columbia, MD, the weekend was reserved for the famed
District of **Columbia** , i.e. Washington D.C. My plan was to explore the
National Mall area and take photos of monuments and memorials I found through
google maps. A little after 7am, I paid for 3 hours of parking on Ohio Dr SW
near Franklin Roosevelt Memorial.

I hustled over to the famous **Lincoln Memorial** for a look at Honest Abe,
our 16th US president. Since it was still early, few people were in front of
the building such as a grad student taking pics with their family. You can
already see some harsh morning light shining through onto the statue.

Continue Reading ->

",lynn,"Sat, 23 Nov 2019 20:59:38 +0000"
